"Day","Hour","Temperature","KWh_Class"
"12/7/2014",1,35.78,"Optimal"
"12/7/2014",2,37.22,"Optimal"
"12/7/2014",3,37.22,"Optimal"
"12/7/2014",4,35.96,"Optimal"
"12/7/2014",5,35.06,"Optimal"
"12/7/2014",6,33.89,"Optimal"
"12/7/2014",7,33.98,"Above_Normal"
"12/7/2014",8,33.98,"Above_Normal"
"12/7/2014",9,33.98,"Above_Normal"
"12/7/2014",10,33.98,"Above_Normal"
"12/7/2014",11,33.98,"Above_Normal"
"12/7/2014",12,33.98,"Above_Normal"
"12/7/2014",13,35.96,"Above_Normal"
"12/7/2014",14,37.04,"Above_Normal"
"12/7/2014",15,35.96,"Above_Normal"
"12/7/2014",16,32,"Above_Normal"
"12/7/2014",17,30.02,"Above_Normal"
"12/7/2014",18,28.04,"Above_Normal"
"12/7/2014",19,26.06,"Above_Normal"
"12/7/2014",20,24.08,"Optimal"
"12/7/2014",21,23,"Optimal"
"12/7/2014",22,21.92,"Optimal"
"12/7/2014",23,21.02,"Optimal"
"12/8/2014",0,19.67,"Optimal"
"12/8/2014",1,19.94,"Optimal"
"12/8/2014",2,19.04,"Optimal"
"12/8/2014",3,19.04,"Optimal"
"12/8/2014",4,19.04,"Optimal"
"12/8/2014",5,17.96,"Optimal"
"12/8/2014",6,19.04,"Optimal"
"12/8/2014",7,19.04,"Above_Normal"
"12/8/2014",8,19.94,"Above_Normal"
"12/8/2014",9,21.02,"Above_Normal"
"12/8/2014",10,21.02,"Above_Normal"
"12/8/2014",11,21.92,"Above_Normal"
"12/8/2014",12,23,"Above_Normal"
"12/8/2014",13,24.08,"Above_Normal"
"12/8/2014",14,24.08,"Above_Normal"
"12/8/2014",15,24.89,"Above_Normal"
"12/8/2014",16,24.98,"Above_Normal"
"12/8/2014",17,26.06,"Above_Normal"
"12/8/2014",18,26.06,"Above_Normal"
"12/8/2014",19,26.33,"Above_Normal"
"12/8/2014",20,25.79,"Optimal"
"12/8/2014",21,24.89,"Optimal"
"12/8/2014",22,25.43,"Optimal"
"12/8/2014",23,27.635,"Optimal"
"12/9/2014",0,30.32,"Optimal"
"12/9/2014",1,32.66,"Optimal"
"12/9/2014",2,39.2,"Optimal"
"12/9/2014",3,42.08,"Optimal"
"12/9/2014",4,37.04,"Optimal"
"12/9/2014",5,37.4,"Optimal"
"12/9/2014",6,42.89,"Optimal"
"12/9/2014",7,42.98,"Above_Normal"
"12/9/2014",8,44.06,"Above_Normal"
"12/9/2014",9,44.96,"Above_Normal"
"12/9/2014",10,44.78,"Above_Normal"
"12/9/2014",11,44.96,"Above_Normal"
"12/9/2014",12,46.28,"Above_Normal"
"12/9/2014",13,46.94,"Above_Normal"
"12/9/2014",14,46.94,"Above_Normal"
"12/9/2014",15,46.58,"Above_Normal"
"12/9/2014",16,48.02,"Above_Normal"
"12/9/2014",17,48.14,"Above_Normal"
"12/9/2014",18,48.44,"Above_Normal"
"12/9/2014",19,48.92,"Above_Normal"
"12/9/2014",20,48.56,"Optimal"
"12/9/2014",21,48.92,"Optimal"
"12/9/2014",22,48.92,"Optimal"
"12/9/2014",23,48.92,"Optimal"
"12/10/2014",0,46.04,"Optimal"
"12/10/2014",1,44.96,"Optimal"
"12/10/2014",2,42.98,"Optimal"
"12/10/2014",3,42.08,"Optimal"
"12/10/2014",4,42.08,"Optimal"
"12/10/2014",5,42.2,"Optimal"
"12/10/2014",6,41,"Optimal"
"12/10/2014",7,41.9,"Above_Normal"
"12/10/2014",8,41,"Above_Normal"
"12/10/2014",9,41,"Above_Normal"
"12/10/2014",10,41.36,"Above_Normal"
"12/10/2014",11,42.56,"Above_Normal"
"12/10/2014",12,42.44,"Above_Normal"
"12/10/2014",13,42.56,"Above_Normal"
"12/10/2014",14,41,"Above_Normal"
"12/10/2014",15,39.92,"Above_Normal"
"12/10/2014",16,39.92,"Above_Normal"
"12/10/2014",17,39.11,"Above_Normal"
"12/10/2014",18,39.11,"Above_Normal"
"12/10/2014",19,39.02,"Above_Normal"
"12/10/2014",20,39.14,"Optimal"
"12/10/2014",21,37.94,"Optimal"
"12/10/2014",22,39.02,"Optimal"
"12/10/2014",23,39.02,"Optimal"
"12/11/2014",0,39.14,"Optimal"
"12/11/2014",1,39.155,"Optimal"
"12/11/2014",2,37.94,"Optimal"
"12/11/2014",3,37.94,"Optimal"
"12/11/2014",4,37.04,"Optimal"
"12/11/2014",5,35.96,"Optimal"
"12/11/2014",6,35.06,"Optimal"
"12/11/2014",7,35.33,"Above_Normal"
"12/11/2014",8,35.33,"Above_Normal"
"12/11/2014",9,34.43,"Above_Normal"
